Time,Reference,Target
5.86,13.75,13.75
5.88,14.72,14.72
5.9,15.71,15.71
5.92,16.27,16.27
5.94,16.55,16.55
5.96,16.61,16.61
5.98,16.41,16.41
6,15.91,
6.02,15.43,15.43
6.04,15.27,15.27
6.06,15.5,15.5
6.08,15.79,15.79
6.1,16.12,16.12
6.12,16.52,16.52
6.14,16.92,16.92
6.16,17.34,17.34
6.18,17.63,17.63
6.2,18.28,18.28
6.22,19.18,19.18
6.24,20.12,20.12
6.26,21.06,21.06
6.28,22.17,22.17
6.3,23.31,23.31
6.32,24.14,24.14
6.34,24.49,24.49
6.36,23.91,23.91
6.38,23.54,23.54
6.4,23.41,23.41
6.42,23.38,23.38
6.44,23.1,23.1
6.46,23.05,
6.48,23.55,
6.5,24.24,
6.52,24.89,24.89
6.54,26.58,26.58
6.56,27.46,27.46
6.58,28.7,28.7
6.6,29.61,29.61
6.62,30.55,30.55
6.64,31.34,31.34
6.66,32.3,32.3
6.68,33.26,33.26
6.7,34.23,34.23
6.72,35.34,35.34
6.74,36.33,36.33
6.76,37.3,37.3
6.78,39.33,39.33
6.8,39.83,39.83
6.82,39.65,39.65
6.84,39.69,39.69
6.86,39,39
6.88,38.39,38.39
6.9,36.89,36.89
6.92,35.74,35.74
6.94,35.2,35.2
6.96,34.56,34.56
6.98,33.26,33.26
7,31.81,31.81
7.02,29.15,29.15
7.04,27.94,27.94
7.06,27.08,27.08
7.08,26.27,26.27
7.1,24.47,24.47
7.12,21.96,21.96
7.14,19.03,19.03
7.16,16.66,16.66
7.18,14.71,14.71
7.2,13.82,13.82
7.22,13.2,13.2
7.24,13.36,13.36
7.26,13.79,13.79
7.28,13.69,13.69
7.3,13.13,
7.32,12.31,
7.34,12.06,
7.36,12.92,12.92
7.38,14.25,14.25
7.4,15.66,15.66
7.42,17.12,17.12
7.44,18.36,18.36
7.46,19.65,19.65
7.48,20.96,20.96
7.5,22.12,22.12
7.52,22.7,22.7
7.54,22.66,22.66
7.56,21.51,21.51
7.58,18.39,18.39
7.6,16.86,16.86
7.62,15.26,15.26
7.64,13.71,13.71
7.66,11.49,11.49
7.68,8.89,8.89
7.7,6.72,6.72
7.72,5.18,5.18
7.74,4.4,4.4
7.76,4.23,4.23
7.78,4.31,4.31
7.8,4.4,4.4
7.82,4.72,4.72
7.84,4.6,4.6
7.86,3.88,3.88
7.88,3.34,3.34
7.9,2.89,2.89
7.92,0,0
7.94,0,0
7.96,0,0
7.98,0,0
8,0,0
8.02,0,
8.04,0,0
8.06,0,0
8.08,2.95,2.95
